Year,Population,Total_Withdrawal,Total_Ground,Total_Surface,Municipal,Livestock,Irrigation,Thermoelectric,Industry
1950,150.7,180,34,140,14,1.5,89,40,37
1955,164,240,47,180,17,1.5,110,72,39
1960,179.3,270,50,190,21,1.6,110,100,38
1965,193.8,310,60,210,24,1.7,120,130,46
1970,205.9,370,68,250,27,1.9,130,170,47
1975,216.4,420,82,260,29,2.1,140,200,45
1980,229.6,430,83,280,33,2.2,150,210,45
1985,242.4,397,73.4,263,36.6,2.23,135,187,25.8
1990,252.3,404,79.4,256,38.7,2.25,134,194,22.5
1995,267.1,398,76.3,261,40.2,2.28,130,190,21.6
2000,285.3,413,84.4,265,43.3,2.39,139,195,19.7
2005,300.7,409,78.9,270,44.3,2.15,127,201,18.1
2010,313,355,76,230,42,2,115,162,16.2
2015,325,322,82.3,198,39,2,118,133,14.8
